id,name
328,"Swami Ramanand Teerth Marathwada University, Nanded"
76,"T.M. Bhagalpur University, Bhagalpur"
665,"TAMIL NADU FISHERIES UNIVERSITY"
480,"Tamil Nadu Dr. Ambedkar Law University, Chennai"
481,"Tamil Nadu Dr. M.G.R. Medical University , Chennai"
483,"Tamil Nadu Teacher Education University, Chennai"
485,"Tamilnadu Agricultural University, Coimbatore"
486,"Tamilnadu Physical Education and Sports University, Chennai"
487,"Tamilnadu Veterinary & Animal Sciences University, Chennai"
330,"Tata Institute of Fundamental Research, Mumbai"
544,"Teerthanker Mahaveer University, Moradabad"
40,"Telangana University, Nizamabad"
41,"The English and Foreign Languages University, Hyderabad"
494,"The Institute of Chartered Financial Analysts of India University, Agartala"
586,"The West Bengal University of Health Sciences, Kolkata"
488,"Thiruvalluvar Univeristy, Vellore"
495,"Tripura University, Agartala"
244,"Tumkur University, Tumkur"
668,"UKA TARSADIA UNIVERSITY"
637,"UNIVERSITY OF AGRICULTURAL AND HORTICULTURAL SCIENCES, SHIMOGA"
534,"UP Pandit Deen Dayal Upadhyaya Veterinary University & Gau-Anusandhan Sansthan, Mathura"
654,"UTTARAKHAND UNIVERSITY OF HORTICULTURE AND FORESTRY, BHARSAR"
248,"University of Agricultural Sciences, Bangalore"
246,"University of Agricultural Sciences, Dharwad"
247,"University of Agricultural Sciences, Raichur"
548,"University of Allahabad, Allahabad"
120,"University of Delhi"
571,"University of Gour Banga, Malda"
245,"University of Horticultural Sciences, Bagalkot"
42,"University of Hyderabad, Hyderabad"
195,"University of Jammu, Jammu Tawi"
196,"University of Kashmir, Srinagar"
365,"Utkal University of Culture, Bhubaneswar"
366,"Utkal University, Bhubaneswar"
587,"Uttar Banga Krishi Vishwavidyalaya, Cooch Behar"
565,"Uttaranchal Sanskrit University, Hardwar"
566,"Uttrakhand Technical University, Dehradun"
492,"VINAYAKA MISSIONs RESEARCH FOUNDATION, SALEM"
550,"Veer Bahadur Singh Purvanchal University, Jaunpur"
77,"Veer Kunwar Singh University, Arrah"
153,"Veer Narmad South Gujarat University, Surat"
490,"Vellore Institute of Technology, Vellore"
249,"Vesveswaraiah Technological University, Belgaum"
588,"Vidya Sagar University, Midnapore"
603,"Vijayanagara Sri Krishnadevaraya University, Bellary"
44,"Vikram Simhapuri University, Nellore"
291,"Vikram University, Ujjain"
433,"Vinayaka Missions Sikkim University, Tadong"
212,"Vinoba Bhave University, Hazaribagh"
590,"West Bengal State University, Kolkata"
592,"West Bengal University of Technology, Kolkata"
250,"Yenepoya University, Mangalore"
45,"Yogi Vemana University, Kadapa"
